number,type,title,author,author_type,author_association,state,created_at,closed_at,updated_at,age_hours_to_close,closed_within_10m,comments,labels,html_url,first_close_actor,first_close_at,first_close_seconds_after_create,auto_closed_by_github_actions_within_10m,first_reopen_after_first_close_actor,first_reopen_after_first_close_at,reopened_after_auto_close,first_close_after_reopen_actor,first_close_after_reopen_at,reclosed_after_auto_reopen,state_event_sequence,accepted_by_reopen_or_main_reference,acted_on_by_main_reference,acted_on_without_reopen,main_commit_refs,merged_pr_refs,acceptance_sources
2157,issue,No celebration of Pi day built in,thewilloftheshadow,User,NONE,closed,2026-03-14T15:38:15Z,2026-03-14T15:38:22Z,2026-03-24T00:52:19Z,0.002,yes,3,bug|possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2157,github-actions[bot],2026-03-14T15:38:22Z,7,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T15:38:22Z,no,no,no,,,
2158,issue,Unable to open door,NathanSweet,User,NONE,closed,2026-03-14T15:40:00Z,2026-03-14T15:40:09Z,2026-03-14T15:40:09Z,0.003,yes,1,bug,https://github.com/earendil-works/pi/issues/2158,github-actions[bot],2026-03-14T15:40:09Z,9,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T15:40:09Z,no,no,no,,,
2159,issue,Tests should be keybinding-agnostic,yhslai,User,NONE,closed,2026-03-14T15:44:26Z,2026-03-14T15:44:35Z,2026-03-14T15:44:47Z,0.003,yes,1,bug,https://github.com/earendil-works/pi/issues/2159,github-actions[bot],2026-03-14T15:44:35Z,9,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T15:44:35Z,no,no,no,,,
2160,issue,test,lightningRalf,User,NONE,closed,2026-03-14T15:50:30Z,2026-03-14T15:50:49Z,2026-03-14T15:50:49Z,0.005,yes,1,bug,https://github.com/earendil-works/pi/issues/2160,github-actions[bot],2026-03-14T15:50:49Z,19,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T15:50:49Z,no,no,no,,,
2161,issue,Can't switch model after hitting usage limit,lightclient,User,NONE,closed,2026-03-14T16:02:36Z,2026-03-14T16:02:47Z,2026-03-24T00:48:32Z,0.003,yes,1,bug|possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2161,github-actions[bot],2026-03-14T16:02:47Z,11,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T16:02:47Z,no,no,no,,,
2162,issue,openai-completions: avoid hard JSON.parse crash on streamed tool arguments,kexinzhang3-lab,User,NONE,closed,2026-03-14T16:42:50Z,2026-03-14T16:42:58Z,2026-03-24T00:48:02Z,0.002,yes,1,possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2162,github-actions[bot],2026-03-14T16:42:58Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T16:42:58Z,no,no,no,,,
2163,issue,v0.58.0: Anthropic OAuth flow broken on headless installations,joshuajbrunner,User,NONE,closed,2026-03-14T18:05:20Z,2026-03-14T18:05:28Z,2026-03-14T18:05:28Z,0.002,yes,1,,https://github.com/earendil-works/pi/issues/2163,github-actions[bot],2026-03-14T18:05:28Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T18:05:28Z,no,no,no,,,
2164,issue,feat(tui): Ghost text / inline suggestion API for Editor,conarti,User,NONE,closed,2026-03-14T18:59:42Z,2026-03-14T18:59:50Z,2026-03-14T18:59:50Z,0.002,yes,1,,https://github.com/earendil-works/pi/issues/2164,github-actions[bot],2026-03-14T18:59:50Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T18:59:50Z,no,no,no,,,
2167,issue,Create a flake.nix,lukasl-dev,User,NONE,closed,2026-03-14T19:50:49Z,2026-03-14T19:50:57Z,2026-03-14T19:50:57Z,0.002,yes,1,,https://github.com/earendil-works/pi/issues/2167,github-actions[bot],2026-03-14T19:50:57Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T19:50:57Z,no,no,no,,,
2168,issue,"finish_reason ""content_filter"" is overwritten as ""error""",bgoosmanviz,User,NONE,closed,2026-03-14T21:44:40Z,2026-03-14T21:44:50Z,2026-03-14T21:44:50Z,0.003,yes,1,bug,https://github.com/earendil-works/pi/issues/2168,github-actions[bot],2026-03-14T21:44:50Z,10,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T21:44:50Z,no,no,no,,,
2169,issue,Issue using Anthropic OAuth in 0.58.0 / 0.58.1,komsit37,User,NONE,closed,2026-03-14T22:30:53Z,2026-03-15T14:41:05Z,2026-03-18T15:23:52Z,16.170,no,5,,https://github.com/earendil-works/pi/issues/2169,github-actions[bot],2026-03-14T22:31:02Z,9,yes,badlogic,2026-03-15T07:59:54Z,yes,badlogic,2026-03-15T14:41:05Z,yes,closed:github-actions[bot]:2026-03-14T22:31:02Z|reopened:badlogic:2026-03-15T07:59:54Z|closed:badlogic:2026-03-15T14:41:05Z,yes,yes,no,e645995a4a6d1d512744c386c0aa7068445f8b93@2026-03-15T15:40:50+01:00,,reopened:2026-03-15T07:59:54Z:badlogic|main_commit:e645995a4a6d1d512744c386c0aa7068445f8b93:2026-03-15T15:40:50+01:00
2170,issue,Feature Request: Expose local `BashOperations` for `user_bash` extensions,sherif-fanous,User,NONE,closed,2026-03-14T22:57:10Z,2026-03-14T22:57:19Z,2026-03-14T22:57:19Z,0.003,yes,1,,https://github.com/earendil-works/pi/issues/2170,github-actions[bot],2026-03-14T22:57:19Z,9,yes,,,no,,,no,closed:github-actions[bot]:2026-03-14T22:57:19Z,no,no,no,,,
2171,issue,Anthropic OAuth: redirect_uri mismatch when pasting callback URL manually,hyprsh,User,NONE,closed,2026-03-15T01:23:24Z,2026-03-15T01:23:35Z,2026-03-15T01:23:35Z,0.003,yes,1,,https://github.com/earendil-works/pi/issues/2171,github-actions[bot],2026-03-15T01:23:35Z,11,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T01:23:35Z,no,no,no,,,
2173,issue,Proposal: Opt-in support for Google Interactions API (`useInteractionsApi`),infektyd,User,NONE,closed,2026-03-15T01:42:31Z,2026-03-15T01:42:40Z,2026-03-15T01:42:40Z,0.003,yes,1,,https://github.com/earendil-works/pi/issues/2173,github-actions[bot],2026-03-15T01:42:40Z,9,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T01:42:40Z,no,no,no,,,
2174,issue,Tab completion for /model breaks with multi-slash model IDs (e.g. LM Studio models),bruno-de-queiroz,User,NONE,closed,2026-03-15T01:51:20Z,2026-03-15T15:41:15Z,2026-03-15T15:41:15Z,13.832,no,1,,https://github.com/earendil-works/pi/issues/2174,github-actions[bot],2026-03-15T01:51:30Z,10,yes,badlogic,2026-03-15T07:58:00Z,yes,badlogic,2026-03-15T15:41:15Z,yes,closed:github-actions[bot]:2026-03-15T01:51:30Z|reopened:badlogic:2026-03-15T07:58:00Z|closed:badlogic:2026-03-15T15:41:15Z,yes,yes,no,b752a6e0a146a5bffb551634ad1ba0210062afc8@2026-03-15T16:41:06+01:00,,reopened:2026-03-15T07:58:00Z:badlogic|main_commit:b752a6e0a146a5bffb551634ad1ba0210062afc8:2026-03-15T16:41:06+01:00
2176,issue,fix: google-antigravity Claude 4.6 entries still have contextWindow: 200000,ddpie,User,NONE,closed,2026-03-15T03:24:26Z,2026-03-15T03:24:36Z,2026-03-24T00:03:09Z,0.003,yes,1,possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2176,github-actions[bot],2026-03-15T03:24:37Z,11,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T03:24:37Z,no,no,no,,,
2177,issue,No system prompt is sent to ollama #2,cedricho,User,NONE,closed,2026-03-15T04:42:16Z,2026-03-15T15:11:54Z,2026-03-17T02:33:38Z,10.494,no,3,bug,https://github.com/earendil-works/pi/issues/2177,github-actions[bot],2026-03-15T04:42:36Z,20,yes,badlogic,2026-03-15T07:57:16Z,yes,badlogic,2026-03-15T15:11:54Z,yes,closed:github-actions[bot]:2026-03-15T04:42:36Z|reopened:badlogic:2026-03-15T07:57:16Z|closed:badlogic:2026-03-15T15:11:54Z,yes,yes,no,0b48e2518fbfb15ed6a20f1dc9cc3af63620c2a2@2026-03-15T16:11:40+01:00,,reopened:2026-03-15T07:57:16Z:badlogic|main_commit:0b48e2518fbfb15ed6a20f1dc9cc3af63620c2a2:2026-03-15T16:11:40+01:00
2178,issue,Include model/provider in `--mode json` output events,nathanschram,User,NONE,closed,2026-03-15T06:55:17Z,2026-03-15T17:47:42Z,2026-03-24T00:49:49Z,10.874,no,2,possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2178,github-actions[bot],2026-03-15T06:55:25Z,8,yes,badlogic,2026-03-15T07:58:26Z,yes,badlogic,2026-03-15T17:47:42Z,yes,closed:github-actions[bot]:2026-03-15T06:55:25Z|reopened:badlogic:2026-03-15T07:58:26Z|closed:badlogic:2026-03-15T17:47:42Z,yes,no,no,,,reopened:2026-03-15T07:58:26Z:badlogic
2179,issue,Auto Model Routing for Google Gemini,shalomb,User,NONE,closed,2026-03-15T07:04:56Z,2026-03-15T07:05:04Z,2026-03-15T07:05:04Z,0.002,yes,1,,https://github.com/earendil-works/pi/issues/2179,github-actions[bot],2026-03-15T07:05:04Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T07:05:04Z,no,no,no,,,
2180,issue,Performance Improvements for Google Gemini CLI Provider & Startup,shalomb,User,NONE,closed,2026-03-15T07:05:45Z,2026-03-15T07:05:55Z,2026-03-15T07:05:55Z,0.003,yes,1,,https://github.com/earendil-works/pi/issues/2180,github-actions[bot],2026-03-15T07:05:55Z,10,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T07:05:55Z,no,no,no,,,
2183,issue,Add support for the Kilo Gateway provider.,Githubguy132010,User,NONE,closed,2026-03-15T08:59:25Z,2026-03-15T08:59:36Z,2026-04-13T04:34:03Z,0.003,yes,3,,https://github.com/earendil-works/pi/issues/2183,github-actions[bot],2026-03-15T08:59:36Z,11,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T08:59:36Z,no,no,no,,,
2185,issue,Anthropic OAuth fails in manual callback flow and refresh flow,richardoros,User,NONE,closed,2026-03-15T10:55:27Z,2026-03-15T10:55:34Z,2026-03-15T15:12:33Z,0.002,yes,2,,https://github.com/earendil-works/pi/issues/2185,github-actions[bot],2026-03-15T10:55:34Z,7,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T10:55:34Z,no,no,no,,,
2186,issue,Enhancement: VS Code launch on Windows in /diff and /files,yzhg1983,User,CONTRIBUTOR,closed,2026-03-15T11:55:53Z,2026-03-15T11:56:03Z,2026-03-24T00:53:33Z,0.003,yes,3,possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2186,github-actions[bot],2026-03-15T11:56:03Z,10,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T11:56:03Z,yes,yes,yes,688ff9f10cd6940471d7500082cf8eb9a37ebfa1@2026-03-17T15:33:03+01:00,2288@2026-03-17T14:33:03Z,main_commit:688ff9f10cd6940471d7500082cf8eb9a37ebfa1:2026-03-17T15:33:03+01:00|merged_pr:2288:2026-03-17T14:33:03Z
2188,issue,pi-agent-core swallows non-abort run-loop errors into empty assistant messages,ProgramCaiCai,User,NONE,closed,2026-03-15T15:02:17Z,2026-03-15T15:02:25Z,2026-03-24T00:50:50Z,0.002,yes,3,possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2188,github-actions[bot],2026-03-15T15:02:25Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T15:02:25Z,no,no,no,,,
2190,issue,fix: google-antigravity Claude 4.6 entries still have contextWindow: 200000,ddpie,User,NONE,closed,2026-03-15T16:07:20Z,2026-03-15T16:07:31Z,2026-03-24T00:03:08Z,0.003,yes,1,possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2190,github-actions[bot],2026-03-15T16:07:31Z,11,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T16:07:31Z,no,no,no,,,
2192,issue,Feature: Add support for Azure OpenAI Completions,kunalk16,User,NONE,closed,2026-03-15T16:25:04Z,2026-03-15T16:25:14Z,2026-03-24T00:48:19Z,0.003,yes,1,possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2192,github-actions[bot],2026-03-15T16:25:14Z,10,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T16:25:14Z,no,no,no,,,
2194,issue,fix: google-antigravity claude-opus-4-6-thinking and claude-sonnet-4-6 contextWindow should be 1M,ddpie,User,NONE,closed,2026-03-15T16:37:21Z,2026-03-15T16:37:30Z,2026-03-24T00:03:07Z,0.003,yes,1,possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2194,github-actions[bot],2026-03-15T16:37:30Z,9,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T16:37:30Z,no,no,no,,,
2195,issue,Print mode (-p) hangs indefinitely when extensions emit steer messages,theflysurfer,User,NONE,closed,2026-03-15T17:10:18Z,2026-03-15T17:10:26Z,2026-03-26T01:45:18Z,0.002,yes,2,,https://github.com/earendil-works/pi/issues/2195,github-actions[bot],2026-03-15T17:10:26Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T17:10:26Z,no,no,no,,,
2196,issue,Bug: bun global installs show npm update command instead of bun,antonioc-cl,User,NONE,closed,2026-03-15T19:27:52Z,2026-03-15T19:28:01Z,2026-03-17T20:06:48Z,0.003,yes,4,,https://github.com/earendil-works/pi/issues/2196,github-actions[bot],2026-03-15T19:28:01Z,9,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T19:28:01Z,no,no,no,,,
2201,issue,fix: add optional chaining for model.input in convertMessages,KJyang-0114,User,NONE,closed,2026-03-15T21:59:08Z,2026-03-15T21:59:16Z,2026-03-15T21:59:16Z,0.002,yes,1,,https://github.com/earendil-works/pi/issues/2201,github-actions[bot],2026-03-15T21:59:16Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T21:59:16Z,no,no,no,,,
2202,issue,/reload should reload changes made to ~/.pi/agent/keybindings.json,simonjohansson,User,NONE,closed,2026-03-15T22:32:01Z,2026-03-15T22:32:11Z,2026-03-15T22:32:11Z,0.003,yes,1,bug,https://github.com/earendil-works/pi/issues/2202,github-actions[bot],2026-03-15T22:32:11Z,10,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T22:32:11Z,no,no,no,,,
2203,issue,No hotkey for new line on Ubuntu terminal by default,SanjoSolutions,User,NONE,closed,2026-03-15T22:32:32Z,2026-03-15T22:32:40Z,2026-04-25T22:23:19Z,0.002,yes,4,bug|possibly-openclaw-clanker,https://github.com/earendil-works/pi/issues/2203,github-actions[bot],2026-03-15T22:32:40Z,8,yes,,,no,,,no,closed:github-actions[bot]:2026-03-15T22:32:40Z,no,no,no,,,
