number,created_at,title,author,state,merged,merged_at,reclosed_after_auto_reopen,outcome_after_reopen,html_url
1627,2026-02-25T11:02:03Z,fix(tui): load koffi via createRequire in ESM,kaste,closed,yes,2026-02-25T11:05:27Z,yes,merged,https://github.com/earendil-works/pi/pull/1627
1631,2026-02-25T14:30:20Z,fix(coding-agent): prevent offline startup hangs,mcollina,closed,yes,2026-02-25T18:44:49Z,yes,merged,https://github.com/earendil-works/pi/pull/1631
1668,2026-02-27T12:30:39Z,fix(coding-agent): ignore SIGINT while process is suspended,aliou,closed,yes,2026-02-27T12:51:45Z,yes,merged,https://github.com/earendil-works/pi/pull/1668
1669,2026-02-27T12:32:19Z,"feat(coding-agent): flush registerProvider immediately, add unregisterProvider",aliou,closed,no,,yes,closed_unmerged,https://github.com/earendil-works/pi/pull/1669
1672,2026-02-27T15:16:20Z,fix(coding-agent): prevent duplicate session prefixes and /tree freezes,w-winter,closed,no,,yes,closed_unmerged,https://github.com/earendil-works/pi/pull/1672
1674,2026-02-27T17:18:43Z,fix(ai): use enable_thinking for Z.ai instead of thinking param,okuyam2y,closed,yes,2026-02-27T20:33:15Z,yes,merged,https://github.com/earendil-works/pi/pull/1674
1738,2026-03-03T02:13:39Z,fix(coding-agent): add missing strip-ansi dependency,graadient,closed,yes,2026-03-03T08:16:20Z,yes,merged,https://github.com/earendil-works/pi/pull/1738
1747,2026-03-03T08:33:34Z,fix(coding-agent): strip all control characters from session display text,joelazar,closed,yes,2026-03-03T13:30:46Z,yes,merged,https://github.com/earendil-works/pi/pull/1747
1759,2026-03-03T11:28:49Z,fix(coding-agent): accept provider-scoped custom model ids,Scott3730,closed,yes,2026-03-03T13:20:50Z,yes,merged,https://github.com/earendil-works/pi/pull/1759
1772,2026-03-03T13:17:56Z,perf(coding-agent): cache ModelsConfig validator,akx,closed,yes,2026-03-03T13:24:03Z,yes,merged,https://github.com/earendil-works/pi/pull/1772
1773,2026-03-03T13:21:03Z,refactor(ai): migrate mistral provider to conversations sdk,ayagmar,closed,yes,2026-03-05T22:49:58Z,yes,merged,https://github.com/earendil-works/pi/pull/1773
