week_start,type,created_external_non_member,auto_closed_by_filter,accepted_after_auto_close,accepted_pct_of_auto_closed,reopened_after_auto_close,acted_on_without_reopen,reclosed_after_auto_reopen,pr_reopened_merged,pr_reopened_closed_unmerged,pr_reopened_open,pr_merged_pct_of_auto_closed,pr_closed_unmerged_pct_of_auto_closed,pr_merged_pct_of_reopened,pr_closed_unmerged_pct_of_reopened
2026-02-23,issue,0,0,0,,0,0,0,,,,,,,
2026-02-23,pr,57,56,6,10.71,6,,,4,2,0,7.14,3.57,66.67,33.33
2026-03-02,issue,162,0,0,,0,0,0,,,,,,,
2026-03-02,pr,88,61,8,13.11,8,,,8,0,0,13.11,0.00,100.00,0.00
2026-03-09,issue,153,35,5,14.29,4,1,0,,,,,,,
2026-03-09,pr,73,57,4,7.02,4,,,4,0,0,7.02,0.00,100.00,0.00
2026-03-16,issue,210,88,11,12.50,9,2,0,,,,,,,
2026-03-16,pr,109,90,10,11.11,10,,,8,1,1,8.89,1.11,80.00,10.00
2026-03-23,issue,93,92,27,29.35,19,8,0,,,,,,,
2026-03-23,pr,49,43,6,13.95,6,,,6,0,0,13.95,0.00,100.00,0.00
2026-03-30,issue,122,122,28,22.95,22,6,0,,,,,,,
2026-03-30,pr,56,49,7,14.29,7,,,6,1,0,12.24,2.04,85.71,14.29
2026-04-06,issue,158,154,32,20.78,28,4,0,,,,,,,
2026-04-06,pr,54,39,3,7.69,3,,,3,0,0,7.69,0.00,100.00,0.00
2026-04-13,issue,245,237,83,35.02,78,5,0,,,,,,,
2026-04-13,pr,87,57,6,10.53,6,,,5,1,0,8.77,1.75,83.33,16.67
2026-04-20,issue,258,250,76,30.40,52,24,0,,,,,,,
2026-04-20,pr,72,54,4,7.41,4,,,4,0,0,7.41,0.00,100.00,0.00
2026-04-27,issue,267,259,60,23.17,35,25,0,,,,,,,
2026-04-27,pr,84,59,7,11.86,7,,,5,1,1,8.47,1.69,71.43,14.29
2026-05-04,issue,161,159,40,25.16,31,9,0,,,,,,,
2026-05-04,pr,65,57,5,8.77,5,,,4,1,0,7.02,1.75,80.00,20.00
2026-05-11,issue,198,193,51,26.42,45,6,0,,,,,,,
2026-05-11,pr,50,38,2,5.26,2,,,2,0,0,5.26,0.00,100.00,0.00
2026-05-18,issue,206,201,54,26.87,46,8,0,,,,,,,
2026-05-18,pr,68,54,1,1.85,1,,,1,0,0,1.85,0.00,100.00,0.00
