week_start,type,created,open,closed,closed_within_10m,unique_authors,bot_authors,possibly_openclaw_clanker_label,bug_label,inprogress_label,author_assoc_contributor,author_assoc_first_timer,author_assoc_first_time_contributor,author_assoc_member,author_assoc_none
2026-02-23,pr,57,0,57,52,54,0,11,0,0,16,0,0,0,41
2026-03-02,issue,163,0,163,19,135,0,22,44,2,31,0,0,1,131
2026-03-02,pr,89,0,89,55,71,0,14,0,0,43,0,0,1,45
2026-03-09,issue,153,1,152,46,136,0,31,46,4,13,0,0,0,140
2026-03-09,pr,75,0,75,53,58,0,15,0,3,19,2,0,2,52
2026-03-16,issue,210,0,210,99,151,0,31,58,23,21,0,0,0,189
2026-03-16,pr,109,1,108,82,84,0,24,0,0,32,1,2,0,74
2026-03-23,issue,97,0,97,74,89,0,8,33,22,8,0,0,4,85
2026-03-23,pr,49,0,49,37,38,0,7,0,4,18,0,0,0,31
2026-03-30,issue,123,0,123,100,116,0,9,40,22,5,0,0,1,117
2026-03-30,pr,56,0,56,44,44,0,11,0,4,16,0,0,0,40
2026-04-06,issue,158,0,158,126,127,0,14,47,16,7,0,0,0,151
2026-04-06,pr,54,0,54,39,42,0,4,0,3,16,1,0,0,37
2026-04-13,issue,245,3,242,160,210,0,22,84,49,22,0,0,0,223
2026-04-13,pr,101,0,101,53,74,0,7,0,12,33,0,0,14,54
2026-04-20,issue,261,0,261,199,207,0,29,100,68,26,0,0,3,232
2026-04-20,pr,77,0,77,53,62,0,6,0,5,24,3,0,5,45
2026-04-27,issue,268,1,267,226,234,0,15,113,40,19,0,0,1,248
2026-04-27,pr,88,1,87,54,68,0,5,0,6,30,1,1,4,52
2026-05-04,issue,161,4,157,128,155,0,12,69,17,8,0,0,0,153
2026-05-04,pr,69,0,69,54,55,0,6,0,3,14,2,0,4,49
2026-05-11,issue,202,5,197,152,185,0,9,82,37,6,0,0,4,192
2026-05-11,pr,59,1,58,38,44,0,4,0,3,14,0,0,9,36
2026-05-18,issue,206,14,192,155,171,0,10,71,30,4,0,0,0,202
2026-05-18,pr,78,5,73,53,52,0,2,0,6,12,3,1,10,52
